title	queer?	yes/all	%	tags	url
It's a Wild Life 	YESSSSS	114/427	26.697892271662766	"#wild,#did,#osdd,#mental_health,#mental_disorder,#wild_life,#wild,#did,#osdd,#mental_health,#mental_disorder,#wild_life,slice of life,slice of life,lgbtq+,comedy,slice of life,lgbtq+,comedy,"	"https://tapas.io/series/Its-a-Wild-Life"
12 Weeks 	YESSSSS	115/428	26.869158878504674	"#psychological,#stalker,#psychological_horror,#psychological,#stalker,#psychological_horror,drama,drama,romance,bl,drama,romance,bl,"	"https://tapas.io/series/12-Weeks"
Awkweird 	No	115/429	26.806526806526808	"#adventure,#action,#fantasy,#travel,#awkward,#weird,#brave,#wonderful,#adventurous,#belautiful,#adventure,#action,#fantasy,#travel,#awkward,#weird,#brave,#wonderful,#adventurous,#belautiful,fantasy,fantasy,romance,comedy,fantasy,romance,comedy,"	"https://tapas.io/series/awkweird"
Lost Stars 	YESSSSS	116/430	26.976744186046513	"#yaoi,#bl,#boyslove,#omegaverse,#abo,#alphaxbeta,#yaoi,#bl,#boyslove,#omegaverse,#abo,#alphaxbeta,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/Lost-Stars"
Leap of Faith  	No	116/431	26.91415313225058	"#romance,#drama,#comedy,#redhead,#haha,#action_comic,#leap_of_faith,#beautiful_woman,#romance,#drama,#comedy,#redhead,#haha,#action_comic,#leap_of_faith,#beautiful_woman,drama,drama,romance,drama,romance,"	"https://tapas.io/series/Leap-of-Faith-"
Velha infância  	YESSSSS	117/432	27.083333333333332	"#yaoi,#boyslove,#lgbt_,#ptbr_,#hardkawaii_,#yaoibrasil,#yaoi,#boyslove,#lgbt_,#ptbr_,#hardkawaii_,#yaoibrasil,lgbtq+,lgbtq+,romance,bl,lgbtq+,romance,bl,"	"https://tapas.io/series/Velha-infncia-"
The Scavengers 	No	117/433	27.02078521939954	"#cute,#adventure,#fantasy,#fun,#mystery,#animals,#mouse,#british,#wholesome,#not_manga,#cute,#adventure,#fantasy,#fun,#mystery,#animals,#mouse,#british,#wholesome,#not_manga,fantasy,fantasy,mystery,fantasy,mystery,"	"https://tapas.io/series/The-Scavengers"
The Last of the Fiends 	YESSSSS	118/434	27.188940092165897	"fantasy,fantasy,drama,lgbtq+,fantasy,drama,lgbtq+,"	"https://tapas.io/series/The-Last-of-the-Fiends"
Parasomnia OCT Entries- Saturn and Orcy 	No	118/435	27.126436781609197	"#nightmare,#original_characters,#parasomnia,#parasomnia_oct,#oct_participation,#parasomnia_inc,#nightmare,#original_characters,#parasomnia,#parasomnia_oct,#oct_participation,#parasomnia_inc,mystery,mystery,horror,action,mystery,horror,action,"	"https://tapas.io/series/Parasomnia-OCT-Entries--Saturn-and-Orcy"
eu gosto de você 	YESSSSS	119/436	27.293577981651374	"bl,bl,romance,slice of life,bl,romance,slice of life,"	"https://tapas.io/series/eu-gosto-de-voc"
Sétimos Filhos: A Espada de Miguel 	YESSSSS	120/437	27.45995423340961	"fantasy,fantasy,action,lgbtq+,fantasy,action,lgbtq+,"	"https://tapas.io/series/7FEspadadeMiguel"
The Desolate Two  	YESSSSS	121/438	27.62557077625571	"#drama,#bl,#lgbtq,#gl,#action_,#fantasy_,#comedy_,#romance_,#mystery_,#supernatural_,#drama,#bl,#lgbtq,#gl,#action_,#fantasy_,#comedy_,#romance_,#mystery_,#supernatural_,fantasy,fantasy,romance,mystery,fantasy,romance,mystery,"	"https://tapas.io/series/The-Desolate-Two-"
Love at 2 am 	YESSSSS	122/439	27.790432801822323	"#school,#comedy,#queer,#boyslove,#omegaverse,#school,#comedy,#queer,#boyslove,#omegaverse,bl,bl,romance,slice of life,bl,romance,slice of life,"	"https://tapas.io/series/Love-at-2-am"
Better Half Of Mine 	YESSSSS	123/440	27.954545454545453	"#lesbian,#gay,#work,#office,#bl,#bisexual,#gl,#trans,#boylove,#girllove,#lesbian,#gay,#work,#office,#bl,#bisexual,#gl,#trans,#boylove,#girllove,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/Better-Half-Of-Mine"
Fine China and Glass Walls 	No	123/441	27.89115646258503	"#cat,#human,#little,#borrower,#tiny_people,#mouse_tail,#cat,#human,#little,#borrower,#tiny_people,#mouse_tail,fantasy,fantasy,drama,slice of life,fantasy,drama,slice of life,"	"https://tapas.io/series/Fine-China-and-Glass-Walls"
